0,4.188,10.416,17.86,22.444,40.859,47.321,60.392,67.041,84.498,97.673,115.803,119.819,151.435,25.028,33.535,38.682,52.17,78.953,96.439,103.663,106.289,106.29,113.606,96.456,25.36,37.183,185.305,179.475,201.541,202.659,225.048,224.229,209.312,195.112,185.716,178.977,164.078,63.421,69.229,79.918,88.564,17.616,30.892,39.177,57.864,83.869,83.907,89.228,96.494,63.809,60.103,50.765,37.38,28.647,19.036,39.821,47.715,51.775,81.592,85.877,95.672,114.644,66.821,39.4,50.071,48.42,39.086,35.144,30.208,28.736,28.811,25.232,20.773,17.312,12.925,5.64,2.746,16.407,22.592,5.324,8.645,10.105,13.328,51.003,47.203,40.973,96.085,90.113,77.984,84.779,93.982,106.457,108.892,112.402,49.518,70.615,83.075,94.749,110.736,141.847,166.833,182.74,193.23,207.686,25.115,40.734,10.661,42.781,56.53,33.876,100.499,73.304,63.776,66.352,76.762,66.871,69.632,83.915,99.783,126.291,142.581,133.228,17.742,29.527,58.17,70.818,99.123,111.419,128.429,94.901,127.385,137.905,149.424,150.639,9.31,24.399,30.855,35.341,57.146,73.229,85.386,92.467,103.11,121.58,129.495,156.658,167.692,185.037,189.324,202.94,16.042,17.901,23.026,29.078,19.217,21.613,26.41,33.917,54.4,63.815,75.894,81.75,93.482,97.913,116.275,118.355,136.294,157.441,160.452,169.435,188.43,193.99,209.185,216.991,226.76,228.323,226.21,213.855,205.743,191.018,183.743,176.69,185.103,199.615,202.552
4.188,0,6.251,13.689,18.274,36.683,43.184,56.337,63.025,80.497,93.715,111.829,115.866,147.593,28.561,36.953,42.194,55.749,82.558,99.962,107.185,109.676,109.816,117.115,99.979,29.26,40.962,188.615,182.8,204.821,205.941,227.345,226.546,211.822,197.781,188.541,181.784,167.165,59.237,65.079,75.864,84.622,16.421,29.507,36.781,55.411,81.572,81.549,87.146,94.825,62.069,58.696,49.569,36.805,28.629,19.193,42.244,48.711,52.409,81.913,86.238,95.927,115.014,67.177,43.35,53.235,51.109,40.652,35.567,29.416,26.899,25.208,29.381,24.961,21.446,16.865,9.146,5.69,20.492,26.778,5.26,9.673,11.735,15.326,47.198,43.64,38.022,95.762,89.442,76.606,86.32,95.174,107.147,108.954,112.027,46.313,66.876,79.13,90.677,106.609,137.733,162.7,178.628,189.137,203.554,22.46,37.629,7.514,46.957,60.708,38.047,104.524,77.434,67.961,64.912,74.7,65.009,67.735,81.62,97.446,123.822,139.873,130.677,21.42,32.714,60.856,73.123,101.254,113.601,130.753,94.147,126.736,137.438,149.26,150.518,9.777,23.348,29.472,34.946,56.672,72.448,84.153,90.979,101.552,119.997,127.847,155.351,166.255,183.393,187.521,200.977,18.395,19.758,24.131,30.818,20.734,24.702,29.118,36.296,56.702,66.195,78.296,84.002,95.491,99.655,117.553,119.276,137.313,158.465,161.505,173.308,192.45,198.047,213.309,221.162,230.945,224.522,222.461,210.163,202.12,187.813,180.872,174.162,182.825,197.68,200.728
10.416,6.251,0,7.444,12.028,30.612,37.258,50.632,57.412,74.898,88.206,106.273,110.355,142.305,33.711,41.861,47.204,60.8,87.592,104.836,112.051,114.315,114.686,121.949,104.853,34.92,46.382,193.072,187.285,209.222,210.344,230.146,229.378,214.966,201.189,192.203,185.423,171.265,53.015,58.828,69.665,78.529,17.376,29.328,34.663,52.936,79.208,79.082,85.121,93.45,59.132,56.29,47.574,35.978,28.891,20.25,45.685,50.006,53.125,81.943,86.305,95.799,115,67.345,49.034,57.663,54.849,42.892,36.26,28.478,24.396,19.732,35.456,31.173,27.697,23.053,15.228,11.77,26.733,32.96,9.136,13.107,15.448,19.064,42.127,39.13,34.833,94.772,87.958,74.126,89.67,98.03,109.278,110.183,112.604,41.272,61.031,73.035,84.464,100.363,131.492,156.452,172.388,182.907,197.306,18.754,32.811,5.196,53.089,66.842,44.169,110.719,83.682,74.182,62.406,71.216,61.872,64.528,77.767,93.491,119.634,135.335,126.367,27.433,38.245,65.714,77.488,105.332,117.723,135.036,94.209,126.868,137.824,150.078,151.398,13.765,23.977,29.297,36.115,57.382,72.57,83.515,89.91,100.334,118.695,126.425,154.424,165.111,181.905,185.773,198.962,22.343,23.031,26.19,33.509,23.519,29.333,33.16,39.756,59.831,69.383,81.463,86.921,98.004,101.749,118.899,120.079,138.229,159.358,162.439,179.371,198.638,204.259,219.555,227.407,237.107,218.56,216.557,204.326,196.365,182.584,176.089,169.851,178.855,194.183,197.386
17.86,13.689,7.444,0,4.585,23.379,30.211,43.841,50.719,68.182,81.579,99.569,103.701,135.891,40.423,48.313,53.708,67.28,93.99,111.05,118.247,120.28,120.881,128.1,111.067,42.005,53.234,198.775,193.021,214.856,215.981,234.009,233.279,219.225,205.75,197.05,190.249,176.603,45.581,51.399,62.372,71.426,20.705,30.421,33.103,50.442,76.569,76.316,82.86,91.931,56.738,54.634,46.61,36.8,31.273,24.028,50.782,52.86,55.291,83.003,87.379,96.587,115.835,68.696,56.092,63.584,60.135,46.862,38.795,29.524,23.74,14.403,42.82,38.611,35.13,30.41,22.533,19.106,34.146,40.384,15.995,19.345,21.662,25.087,36.285,34.142,31.832,94.534,87.158,72.174,93.714,101.475,111.841,111.687,113.33,36.078,54.373,65.934,77.137,92.957,124.099,149.036,164.995,175.536,189.89,16.895,28.167,9.903,60.479,74.23,51.556,118.042,91.104,81.621,60.54,67.962,59.176,61.71,73.967,89.473,115.223,130.425,121.779,34.617,44.918,71.545,82.726,110.155,122.567,140.037,94.413,127.016,138.241,150.979,152.368,19.894,26.323,30.395,38.423,58.687,73.005,82.951,88.784,98.969,117.152,124.713,153.236,163.642,179.996,183.55,196.402,28.375,28.525,30.503,38.135,28.595,35.703,38.989,44.958,64.472,74.011,86.001,91.173,101.771,105.043,121.294,121.849,140.077,161.132,164.255,186.501,205.945,211.606,226.969,234.85,244.506,211.623,209.706,197.574,189.732,176.69,170.802,165.197,174.64,190.56,193.959
22.444,18.274,12.028,4.585,0,19.028,26.008,39.806,46.743,64.156,77.605,95.525,99.691,132.029,44.65,52.389,57.798,71.336,97.974,114.916,122.098,123.996,124.731,131.92,114.933,46.407,57.505,202.303,196.571,218.338,219.465,236.419,235.712,221.88,208.592,200.066,193.256,179.921,41.008,46.821,57.885,67.066,23.75,32.009,33.018,49.467,75.328,74.992,81.838,91.351,55.646,54.037,46.536,37.968,33.433,27.075,54.15,54.99,57.009,83.916,88.283,97.289,116.519,69.849,60.467,67.346,63.565,49.656,40.9,30.992,24.417,12.209,47.36,43.19,39.712,34.967,27.079,23.665,38.722,44.956,20.41,23.514,25.79,29.096,33.056,31.61,30.809,94.614,86.914,71.269,96.459,103.861,113.693,112.911,114.082,33.253,50.349,61.579,72.623,88.392,119.54,144.464,160.437,170.991,185.318,17.25,25.904,14.011,65.03,78.778,56.106,122.57,95.681,86.2,59.76,66.235,57.868,60.304,71.852,87.166,112.611,127.472,119.043,39.103,49.162,75.315,86.157,113.313,125.725,143.268,94.894,127.388,138.761,151.776,153.207,24.066,28.703,31.988,40.522,60.001,73.712,83,88.46,98.465,116.493,123.934,152.745,162.964,179.029,182.382,195.013,32.354,32.264,33.662,41.351,32.145,39.784,42.795,48.414,67.533,77.034,88.942,93.939,104.235,107.223,122.91,123.088,141.336,162.323,165.468,190.923,210.461,216.144,231.541,239.435,249.057,207.344,205.481,193.412,185.647,173.078,167.58,162.382,172.097,188.383,191.902
40.859,36.683,30.612,23.379,19.028,0,7.253,21.267,28.279,45.471,58.981,76.747,80.963,113.546,63.675,71.35,76.763,90.268,116.823,133.617,140.775,142.475,143.404,150.548,133.634,65.383,76.533,220.396,214.708,236.333,237.462,251.803,251.159,237.943,225.15,217.06,210.237,197.611,23.329,30.39,43.121,53.647,36.261,38.292,32.773,43.18,66.438,65.781,73.626,84.663,61.538,61.855,56.574,52.002,49.831,45.111,72.269,70.675,71.662,95.728,99.993,108.213,127.138,82.667,79.465,85.974,81.726,66.828,56.907,46.145,38.493,22.773,66.049,61.579,57.783,52.7,44.847,41.618,56.655,63.44,39.372,42.537,44.802,48.054,18.43,20.797,27.189,103.488,94.796,77.144,103.762,109.419,116.722,113.244,112.397,33.906,40.897,48.378,57.128,71.751,102.898,127.447,143.683,154.454,168.228,31.821,30.823,33.037,83.639,97.389,74.731,139.481,113.366,104.482,66.607,68.95,62.779,64.684,72.565,86.426,109.787,122.642,115.481,56.197,64.635,87.831,96.832,122.284,134.551,152.303,92.482,123.92,135.761,149.798,151.386,40.199,38.282,38.288,47.591,62.414,72.924,79.137,82.898,91.918,108.997,115.857,145.5,154.905,169.745,172.32,184.068,51.286,51.008,51.706,59.359,50.697,58.76,61.548,66.705,85.02,94.38,106.05,110.633,120.15,122.393,136.392,135.427,153.605,174.254,177.455,206.694,227.109,233.038,248.964,257.372,267.593,193.549,192.13,180.59,173.424,164.062,160.89,157.93,168.962,186.915,190.981
47.321,43.184,37.258,30.211,26.008,7.253,0,14.014,21.026,38.258,51.758,69.574,73.772,106.309,70.621,78.397,83.806,97.339,123.943,140.792,147.957,149.695,150.587,157.742,140.809,72.156,83.444,227.648,221.959,243.587,244.716,258.775,258.141,245.025,232.301,224.259,217.436,204.859,19.207,27.117,40.595,51.677,40.878,40.772,33.268,40.502,62.097,61.326,69.443,80.924,66.881,67.653,62.9,58.998,57.051,52.347,79.512,77.8,78.659,102.16,106.391,114.414,133.217,89.34,86.263,93.161,88.968,74.071,64.088,53.287,45.587,29.865,72.553,67.903,63.955,58.748,50.986,47.871,62.766,69.814,46.181,49.501,51.79,55.101,13.435,17.851,26.889,109.226,100.331,82.293,105.143,110.075,116.353,111.876,110.278,38.693,41.504,46.678,53.776,67.423,98.391,122.609,138.988,149.88,163.272,39.007,36.787,40.001,90.045,103.775,81.166,144.792,119.143,110.63,72.119,73.316,67.852,69.585,76.261,89.463,111.867,123.868,117.243,61.936,69.623,91.406,99.596,124.194,136.34,154.102,90.262,121.067,133.02,147.371,149.011,45.818,41.872,40.775,49.897,62.528,71.591,76.53,79.6,88.161,104.774,111.392,141.206,150.304,164.701,167.019,178.471,58.352,58.152,58.946,66.604,57.884,65.792,68.695,73.934,92.269,101.622,113.276,117.825,127.25,129.385,143.074,141.876,160.013,180.561,183.772,211.332,232.18,238.239,254.458,263.18,273.83,190.475,189.287,178.039,171.188,163.351,161.187,159.14,170.641,189.16,193.414
60.392,56.337,50.632,43.841,39.806,21.267,14.014,0,7.012,24.352,37.808,55.732,59.885,92.316,84.238,92.145,97.544,111.108,137.776,154.703,161.877,163.67,164.509,171.68,154.72,85.53,96.994,241.662,235.972,257.6,258.729,272.227,271.614,258.688,246.098,238.153,231.329,218.857,17.904,25.658,38.987,50.45,51.676,48.536,38.504,39.024,55.668,54.657,63.168,75.381,77.958,79.426,75.509,72.613,71.003,66.349,93.519,91.588,92.243,114.776,118.938,126.611,145.158,102.38,99.642,107.095,102.975,88.059,77.974,67.123,59.369,43.688,85.539,80.654,76.513,71.17,63.605,60.669,75.245,82.626,59.687,63.185,65.498,68.877,13.269,20.112,31.649,120.653,111.456,92.904,109.343,112.88,117.14,110.764,107.68,49.542,45.815,46.303,49.495,60.46,90.502,113.808,130.399,141.493,154.037,52.921,49.212,53.715,102.83,116.491,94.023,155.635,130.839,122.953,83.404,82.752,78.494,79.934,84.544,96.424,116.857,127.164,121.597,73.892,80.38,99.627,106.332,129.169,141,158.67,87.753,116.857,128.935,143.823,145.557,57.82,51.211,48.548,56.943,65.291,71.293,73.506,75.04,82.449,97.826,103.853,133.829,142.229,155.625,157.385,168.17,72.147,72.045,72.951,80.614,71.828,79.533,82.585,87.926,106.269,115.607,127.229,131.713,140.97,142.916,156.049,154.446,172.486,192.832,196.057,220.854,242.443,248.726,265.448,274.722,286.122,184.987,184.269,173.649,167.458,162.663,162.458,162.157,174.482,193.988,198.578
67.041,63.025,57.412,50.719,46.743,28.279,21.026,7.012,0,17.486,30.866,48.868,52.983,85.327,91.073,99.032,104.425,117.999,144.693,161.657,168.835,170.656,171.468,178.647,161.673,92.262,103.793,248.673,242.981,264.612,265.741,279.008,278.403,265.561,253.028,245.122,238.298,225.865,21.157,27.802,40.152,51.394,57.542,53.307,42.551,40.033,53.44,52.311,60.893,73.349,83.889,85.621,82.029,79.498,78,73.351,100.524,98.527,99.107,121.247,125.377,132.897,151.32,109.031,106.367,114.062,109.979,95.066,84.95,74.085,66.316,50.656,92.113,87.139,82.928,77.544,70.076,67.217,81.632,89.133,66.499,70.06,72.381,75.784,17.851,24.308,35.811,126.624,117.316,98.597,111.941,114.793,118.045,110.757,106.934,55.561,49.438,47.795,48.857,58.05,87.237,109.907,126.562,137.738,149.786,59.91,55.751,60.609,109.298,122.916,100.532,161.176,136.797,129.199,89.398,88.005,84.253,85.571,89.31,100.552,119.991,129.459,124.415,80.073,86.05,104.121,110.124,132.045,143.685,161.261,87.205,115.222,127.311,142.421,144.198,64.084,56.543,53.323,61.287,67.623,72.061,72.849,73.547,80.25,94.833,100.502,130.446,138.447,151.277,152.733,163.143,79.061,78.999,79.955,87.62,78.804,86.422,89.535,94.923,113.279,122.612,134.224,138.684,147.876,149.745,162.644,160.87,178.86,199.109,202.338,225.714,247.641,254.027,270.984,280.519,292.278,182.69,182.219,171.95,166.115,162.884,163.652,164.204,176.896,196.837,201.579
84.498,80.497,74.898,68.182,64.156,45.471,38.258,24.352,17.486,0,13.523,31.388,35.534,68.116,108.554,116.492,121.889,135.456,162.128,179.038,186.207,187.946,188.839,195.999,179.055,109.741,121.279,265.762,260.094,281.645,282.775,294.507,293.942,281.495,269.269,261.62,254.795,242.755,32.217,35.56,43.994,53.648,74.411,68.952,57.492,50.461,55.888,54.532,62.762,75.28,97.09,99.546,96.95,95.712,94.83,90.577,117.716,114.947,115.172,135.809,139.819,146.822,164.788,124.249,123.843,131.415,127.173,111.982,101.608,90.683,82.862,67.372,109.524,104.495,100.236,94.826,87.437,84.626,98.92,106.503,83.983,87.526,89.843,93.228,34.42,40.174,51.115,139.616,130.037,110.994,123.314,124.787,125.893,116.676,111.191,69.417,58.004,51.634,47.452,51.37,77.285,98.054,114.703,125.984,136.834,76.715,70.973,78.063,126.631,140.209,117.898,177.382,153.588,146.32,102.716,99.348,96.982,97.955,99.371,108.808,125.442,132.656,129.003,97.184,102.584,118.896,123.695,143.787,154.984,172.275,92.335,117.153,129.098,144.598,146.464,81.298,72.835,68.972,76.236,79.192,80.491,78.15,76.83,81.508,93.538,98.064,127.448,134.199,145.202,145.698,154.829,96.499,96.384,97.164,104.802,96.14,103.88,106.926,112.175,130.231,139.487,150.971,155.243,164.051,165.562,177.526,175.16,192.941,212.828,216.067,240.773,263.237,269.785,287.094,297.01,309.241,174.082,174.2,164.829,159.897,160.532,163.73,166.435,179.979,200.933,206.05
